Table: Table_1

;Blidö ;;25,875 ;147 ;52 ;90 ;1 ;;1 ;3 ;;;47 ;5,283 ;5 ;471 ;614 ;8,093 ;108 ;126 ;26 ;38 ;;;- ;59 ;;114 ;56 ;500 ;298 ;2,755 ;;;;-- ;;84 ;555 ;392 ;2,700 ;10 ;
;Frötuna och ;Länna skeppslag ;224-000 ;588 ;109 ;427 ;7 ;3 ;4 ;27 ;7 ;4 ;253 ;37,330 ;25 ;5,046 ;3,762 ;22,000 ;989 ;1.465 ;222 ;254 ;05 ;10:5 ;- ;1,148 ;;957 ;489 ;4.380 ;2,262 ;21,462 ;2 ;17 ;;- ;- ;976 ;6,365 ;4,336 ;30,170 ;;
11 ;Lofö socken ;;28:125 ;24 ;-- ;2 ;;;6 ;4 ;10 ;1 ;14 ;2,457 ;42 ;843 ;114 ;1,006 ;117 ;189 ;25 ;35 ;;- ;- ;347 ;- ;130 ;59 ;530 ;241 ;2,290 ;;--- ;;- ;- ;52 ;340 ;546 ;3,820 ;11 ;
19 ;Ekerö , ;;40:068 ;24 ;- ;8 ;6 ;3 ;;1 ;3 ;3 ;48 ;4,317 ;36 ;1,709 ;177 ;2,150 ;261 ;356 ;41 ;65 ;;- ;- ;708 ;;279 ;184 ;1,650 ;503 ;4,760 ;;- ;;;- ;227 ;1,475 ;860 ;6,020| ;;
13 ;Munsö ;;27:950 ;15 ;- ;;;1 ;;5 ;6 ;8 ;44 ;2,741 ;21 ;1,304 ;164 ;618 ;191 ;269 ;25 ;69 ;;;- ;554 ;;194 ;117 ;1,050 ;386 ;3,670 ;- ;;;- ;- ;157 ;1,020 ;680 ;4,980 13 ;;
14 ;Adelso ;;19:987 ;59 ;28 ;23 ;3 ;;1 ;;3 ;;23 ;2,946 ;18 ;810 ;89 ;1,373 ;148 ;178 ;29 ;54 ;;- ;- ;213 ;- ;200 ;121 ;1,090 ;818 ;3,000 ;;- ;;;- ;131 ;850 ;392 ;2,745 14 ;;
15 ;Färentuna ;;24:625 ;35 ;- ;20 ;2 ;1 ;;9 ;2 ;1 ;26 ;2,084 ;19 ;1,088 ;130 ;468 ;208 ;266 ;64 ;88 ;;0:5 ;- ;217 ;- ;243 € ;187 ;1,680 ;389 ;3,700 ;;;;;;292 ;1,910 ;521 ;3,640 15 ;;
16 ;Hilleshög ;;12:695 ;18 ;1 ;6 ;4 ;- ;- ;3 ;3 ;1 ;9 ;1,280 ;28 ;560 ;51 ;378 ;91 ;141 ;43 ;44 ;;;- ;138 ;- ;101- ;96 ;870 ;155 ;1,472 ;-- ;- ;;- ;- ;159 ;1,030 ;281 ;1.970 ;16 ;
;Sanga ;;28:563 ;35 ;2 ;16 ;6 ;- ;;2 ;7 ;2 ;12 ;2,512 ;18 ;1,079 ;258 ;745 ;172 ;241 ;121 ;93 ;;;- ;972 ;-- ;180 ;156 ;1,400 ;305 ;2,900 ;;- ;;;- ;241 ;1,570 ;579 ;4,060 ;17 ;
18 ;Sk& > ;;26:194 ;50 ;1 ;22 ;3 ;;;18 ;5 ;1 ;10 ;1,720 ;13 ;941 ;151 ;133 ;152 ;196 ;30 ;62 ;- ;- ;- ;331 ;- ;170 ;123 ;1,100 ;297 ;2,850 ;- ;- ;;- ;- ;154 ;1,010 ;451 ;3,150 ;18 ;
;;Färentuna härad ;207-882 ;260 ;27 ;97 ;25 ;6 ;7 ;46 ;30 ;13 ;216 ;20,057 ;195 ;8.334 ;1,134 ;6,871 ;1,340 ;1,831 ;371 ;510 ;8 ;1 ;- ;2.775 ;- ;1,498 ;1.043 ;9,370 ;2,594 ;24,642 ;;- ;;- ;- ;1,413 ;9,205 ;4,310 ;30,385 ;;
19 ;Spanga socken ;;52:026 ;66 ;- ;25 ;14 ;3 ;;11 ;11 ;2 ;88 ;0,204 ;44 ;2,259 ;58 ;2.149 ;308 ;578 ;185 ;88 ;5 ;- ;37 ;796 ;1 ;316 ;296 ;2,800 ;562 ;5,489 ;;;;- ;- ;232 ;1,470 ;1,047 ;7,277 ;19 ;
1201 ;Jerfälla ;;29:250 ;18 ;- ;3 ;3 ;6 ;;3 ;;;44 ;4,223 ;21 ;1,487 ;;1.904 ;190 ;379 ;78 ;45 ;5 ;- ;86 ;559 ;- ;195 ;128 ;1,414 ;324 ;3,464 ;- ;- ;;;- ;140 ;942 ;812 ;6,576 20 ;;
21 ;Eds ;;28:185 ;24 ;- ;1 ;4 ;2 ;;6 ;9 ;1 ;34 ;3,490 ;17 ;1,108 ;81 ;1,869 ;136 ;315 ;39 ;38 ;2 ;- ;29 ;400 ;- ;149 ;171 ;1,541 ;165 ;1.606 ;- ;- ;;;- ;177 ;969 ;678 ;4,186 21 ;;
$8| ;Sollentuna ;;38:250 ;22 ;;;6 ;2 ;;# ;7 ;4 ;20 ;4,948 ;15 ;1,641 ;43 ;2.648 ;259 ;427 ;62 ;48 ;;;45 ;542 ;- ;258 ;198 ;1,957 ;431 ;4.011 ;- ;;;-- ;- ;66 ;435 ;626 ;;;
98 ;Bromma ;;25,875 ;33 ;5 ;6 ;3 ;2 ;5 ;7 ;3 ;2 ;7 ;2,358 ;41 ;897 ;22 ;1,058 ;112 ;198 ;68 ;27 ;- ;--- ;22 ;360 ;- ;115 ;63 ;585 ;191 ;2,155 ;- ;-- ;;- ;- ;61 ;377 ;149 ;881 ;;
24 ;Sundbybergs ;köping ;2000 ;103 ;94 ;4 ;1 ;;4 ;;;;;151 ;27 ;58 ;- ;40 ;;8 ;4 ;5 ;;- ;2 ;32 ;;2 ;- ;;;;- ;;;;- ;6 ;40 ;20 ;142 ;24 ;
;;Sollentuna härad ;173.025 ;266 ;99 ;39 ;31 ;15 ;" ;30 ;31 ;10 ;138 ;20,374 ;165 ;7,445 ;199 ;9,668 ;1,005 ;1,900 ;381 ;251 ;12 ;- ;171 ;2,689 ;I ;1,035 ;856 ;8,207 ;1.673 ;16,675 ;- ;- ;;- ;- ;682 ;4.233 ;3,332 ;22,9 50 ;;
85 ;Östra Ryds ;socken ;34:000 ;40 ;1 ;1 ;;1 ;1 ;20 ;14 ;2 ;59 ;6,838 ;23 ;1,779 ;61 ;4,387 ;241 ;440 ;71 ;68 ;5 ;-- ;38 ;682 ;-- ;234 ;160 ;1.620 ;363 ;4,392 ;;- ;;;- ;179 ;1,189 ;1,034 ;6,096 ;85 ;
96 ;Täby ;;57:875 ;39 ;;i ;10 ;6 ;;7 ;10 ;1 ;54 ;6,166 ;21 ;2,150 ;18 ;3,612 ;299 ;562 ;65 26 ;68 ;3 ;- ;32 ;821 340 ;- ;300 ;170 50 ;1,675 516 ;549 164 ;5,772 1,668 ;;- ;;- ;;114 24 ;691 128 ;1,520 698 ;8.719 8,718 ;26 197 ;
27 ;Danderyde ;;15:875 ;24 ;2 ;;5 ;2 ;2 ;4 ;1 ;1 ;9 ;2,593 ;26 ;816 ;37 ;1,449 ;82 ;224 ;;25 ;;- ;84 ;;;85 ;;352 ;149 ;1,707 ;;-- ;- ;;- ;;197 ;340 ;2,136 ;;
28 ;Lidingö ;;9:250 ;27 ;4 ;8 ;;;;2 ;3 ;1 ;14 ;2,926 ;82 ;778 ;7 ;1,767 ;79 ;175 ;38 ;31 ;;- ;32 ;343 ;2 ;77 ;37 ;;;;- ;- ;;;- ;30 ;;;;188 ;
99 ;Solna ;;17:562 ;58 ;13 ;11 ;2 ;;10 ;17 ;is ;- ;98 ;1,834 ;144 ;565 ;51 ;728 ;41 ;121 ;22 ;35 ;9 ;- ;22 ;227 ;45 ;43 ;80 ;357 ;67 ;707 ;;;;;- ;14 ;109 ;861 ;2,210 ;29 ;
;Danderyds ;skeppslag ;134'562 ;188 ;20 ;32 ;25 ;9 ;14 ;50 ;33 ;5 ;234 ;20,357 ;246 ;6,088 ;174 ;11,943 ;742 ;1,522 ;222 ;227 ;18 ;- ;158 ;2,413 ;47 ;739 ;447 ;4.520 ;1,202 ;14,246 ;- ;--- ;;- ;-- ;361 ;2,204 ;3,953 ;22,879 ;;
so ;Öster&kers ;socken ;84:875 ;105 ;2 ;48 ;17 ;5 ;1 ;21 ;11 ;- ;150 ;10,295 ;20 ;2,591 ;358 ;6,940 ;354 ;863 ;55 ;76 ;2 ;2 ;- ;899 ;- ;340 ;185 ;1.765 ;792 ;7.500 ;8 ;20 ;;3 ;23 ;227 ;1,395 ;2,467 ;17,270 ;so) ;
s1 ;Roslags- Kulla ;;21 875 ;26 ;;14 ;1 ;1 ;;7 ;3 ;;23 ;4,003 ;11 ;747 ;148 ;2,483 ;89 ;227 ;34 ;19 ;;;;282 ;- ;95 ;45 ;400 ;189 ;1,800 ;;- ;;- ;;146 ;955 ;659 ;4,620 ;81 ;
82 ;Riala ;;24:125 ;99 ;1 ;76 ;4 ;;;14 ;3 ;- ;53 ;8,110 ;3 ;1,290 ;359 ;4,481 ;214 ;390 ;45 ;52 ;;8 ;- ;308 ;-- ;208 ;118 ;1,070 ;473 ;4,495 ;- ;- ;;;- ;254 ;1,651 ;1,164 ;8,150 ;32 ;
38 ;Ljusterö ;, ;53:125 ;118 ;9 ;87 ;6 ;1 ;;13 ;2 ;- ;58 ;9,443 ;6 ;1,340 ;370 ;5,886 ;209 ;401 ;28 ;45 ;;2 ;--- ;437 ;--- ;218 ;126 ;1,140 ;431 ;4.088 ;;- ;;;;241 ;1.605 ;1,092 ;7,670 ;38 ;
;;Akers skeppslag ;183:500 ;348 ;12 ;225 ;28 ;8 ;1 ;55 ;19 ;- ;279 ;31,851 ;40 ;5,898 ;1,235 ;19,290 ;866 ;1,881 ;102 ;192 ;2 ;8 ;- ;1,020 ;- ;861 ;474 ;4,375 ;1,885 ;17,883 ;3 ;20 ;;3 ;23 ;868 ;5,600 ;5,382 ;37,710 ;;
34 ;Vermdö socken ;;108:550 ;140 ;4 ;81 ;13 ;8 ;;17 ;14 ;3 ;139 ;22,409 ;60 ;3,836 ;602 ;12,069 ;594 ;1,094 ;127 ;150 ;3 ;- ;39 ;1,244 ;- ;585 ;327 41 ;2,989 370 ;956 177 ;10.011 1,985 ;20 ;99 ;;- ;- ;228 33 ;1,445 208 ;3.812 773 ;21.447 4,172 ;84 ;
35 ;Ingarö ;;21:62% ;32 ;8 ;15 ;1 ;1 ;;6 ;6 ;- ;64 ;6,533 ;9 ;776 ;188 ;3,880 ;106 76 ;214 99 ;20 8 ;39 46 ;;- - ;16 ;270 96 ;- - ;111 81 ;18 ;141 ;141 ;1,246 ;;- ;;- ;- - ;23 ;128 ;328 ;1,964 ;30 ;
36 ;Djurö ;;11:125 ;180 ;92 ;79 ;;;2 ;;, ;;54 ;5,515 ;;;159 ;2,240 ;66 ;141 ;21 ;21 ;1 ;- ;17 ;245 ;- ;72 ;64 ;656 ;83 ;896 ;;- ;;- ;- ;26 ;167 ;476 ;2,634 ;87 ;
37 ;Bo " ;;11:850 ;12 ;;2 ;5 ;1 ;1 ;1 ;1 ;1 ;190 ;8,481 ;34 ;584 ;22 ;1,845 ;;;;;;;;;;;;;;;;;;;;;;;;;
38 ;Möja ;;10:500 ;106 ;79 ;22 ;;;3 ;2 ;;;- ;4,773 ;1 ;147 ;249 ;2,400 ;31 ;51 ;5 ;36 ;;- ;- ;9 ;- ;15 ;11 ;86 ;60 ;563 ;- ;- ;;- ;- ;67 ;377 ;96 ;495 ;las ;
;;Verindö skeppslag ;162 750 ;470 ;178 ;199 ;10 ;10 ;6 ;33 ;21 ;4 ;447 ;42,711 ;108 ;5.749 ;1.220 ;22,434 ;873 ;1,599 ;ISL ;202 ;4 ;- ;72 ;1,864 ;- ;864 ;461 ;4,242 ;1,417 ;14,701 ;20 ;19 ;- ;;- ;377 ;2,325 ;3,480 ;30,712 ;;
89 ;Öaterbaninge ;socken ;79:166 ;112 ;4 ;51 ;3 ;o ;4 ;25 ;19 ;1 ;52 ;15,624 ;34 ;2,738 ;252 ;12,394 ;393 ;753 ;59 ;87 ;11 ;2 ;64 ;975 ;- ;894 ;255 ;2,280 18% ;940 116 ;8,920 990 ;;- ;;;;91 37 ;560 240 ;2,643 268 ;1,890 40 ;;
40 ;Ornö ;, ;18:575 ;37 ;;6 ;- ;;;21 ;1 ;;18 ;6,979 ;;275 ;218 ;6,843 ;46 ;80 21 ;9 2 ;14 14 ;- ;- - ;2 ;72 15 ;- - ;47 11 ;20 11 ;100 ;38 ;310 ;;- ;- - ;;- - ;15 ;95 ;67 ;460 ;;
41 ;Nämdö ;, ;5:500 ;35 ;22 ;2 ;-- ;- ;10 ;1 ;;- ;- ;8,808 ;5 ;76 ;288 ;3,097 ;13 45 ;90 ;;20 ;;- ;5 ;88 ;- ;45 ;9 ;80 ;127 ;1.206 ;28 ;200 ;;;- ;28 ;180 ;260 ;1,800 ;44 ;
42| ;Utö ;;8:750 ;16 ;;5 ;- ;;;9 ;1 ;1 ;4 ;4,469 ;;300 ;147 ;3,830 ;139 ;271 ;41 ;27 ;1 ;;14 I ;331 ;- ;139 ;125 ;1,130 ;251 ;2,385 ;;- ;- ;;- ;63 ;390 ;758 ;5,305 48 ;;
43 ;Tyresö ;;19:145 ;26 ;1 ;8 ;;- ;1 ;11 ;3 ;2 ;44 ;7,258 ;9 ;968 ;139 ;6.037 ;16 ;29 ;4 ;8 ;;;3 ;36 ;;16 ;12 ;110 ;36 ;345 ;;- ;;;-- ;12 ;75 ;90 ;625 ;44 ;
44 ;Dalarö ;;3.750 ;8 ;;;2 ;;;G ;;;4 ;1,799 ;28 ;112 ;38 ;1,594 ;;;;;;;;;;;;;993 ;;;;;;;;850 ;;19,360 ;;
45 ;Vesterhaninge ;. ;65:845 ;107 ;;79 ;7 ;4 ;- ;5 ;8 ;4 ;50 ;11,752 ;19 ;2.992 ;259 ;8,427 ;450 ;756 ;90 ;147 ;1 ;- ;106 ;1,004 ;- ;438 ;357 ;3,210 ;;9,325 ;;;;;- ;55 ;;2,781 ;;45 ;
;Muskö ;;;19 ;;15 ;;;;2 ;;1 ;39 ;4,061 ;3 ;587 ;198 ;3,800 ;81 ;153 ;14 ;28 ;;2 ;12 ;166 ;- ;81 ;60 ;530 ;180 ;1,695 ;17 ;90 ;;- ;- ;;45 ;595 ;4.100 ;146 ;
46 ;;;14:875 ;;- ;;;;;;;;;;;;;;504 ;;85 ;111 ;1 ;4 ;101 ;1,057 ;;496 ;404 ;3,635 ;966 ;9,200 ;;- ;;- ;- ;150 ;970 ;3.339 ;23,350 ;47 ;
47 ;Osmo ;;72:725 ;136 ;4 ;71 ;11 ;2 ;;25 ;17 ;6 ;87 ;15,276 ;19 ;3.381 ;452 ;11.266 ;740 ;1,022 ;128 ;160 ;15 ;4 ;72 ;1,495 ;;766 ;511 ;4,600 ;1,454 ;12,810 ;;;;;- ;365 ;2,870 ;4,912 ;35,050 ;48 ;
48 ;Sorunda ;;89:250 ;249 ;2 ;203 ;10 ;3 ;2 ;19 ;8 ;2 ;65 ;16,745 ;28 ;4,831 ;145 ;11,704 ;51 ;1,451 84 ;9 ;18 ;;1 ;5 ;89 ;- ;49 ;28 ;250 ;111 ;1,050 ;4 ;28 ;;- ;- ;10 ;62 ;298 ;2,685 ;49 ;
49 ;Torö ;, ;6:210 ;15 ;- ;;;1 ;9 ;5 ;;;31 ;2,910 ;3 ;306 ;83 ;2,333 ;;;;;;;;;- ;;;;;;;;;;;;;;;;
;;Sotholms härad ;383/071 1 ;760 ;33 ;440 ;33 ;16 ;35 ;120 ;57 ;17 ;394 ;90,681 ;154 ;16.511 ;2,164 ;70,325 ;2,478 ;4,715 ;448 ;634 ;29 ;13 ;384 ;5,328 ;- ;2,482 ;1,792 ;16.112 ;5,207 ;48.236 ;40 ;318 ;;- ;- ;833 ;5,337 ;16.01 ;113,105 ;;





