Table: Table_1

1. ;36. ;I 37. ;38. ;39, ;40 ;44. ;45. ;46. ;47 ;48. ;49. ;50. ;51. ;52. ;53. ;54 ;55. ;56. ;58. ;59. ;60. ;61. ;66 ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Svenneby ;6 ;38 ;- ;690 ;3 ;2,280 ;- ;1,375 ;- ;420 ;5,040 ;420 ;470 ;X 18 ;228 ;- ;4,830 ;;6 ;- ;- ;;34 ;16 ;. 80 ;6 ;280 ;40 ;60 ;;36 ;- ;
Säter ;;;;5,227 ;24 ;400 ;- ;14,110 ;- ;3,881 ;16,410 ;- ;1,200 ;- ;;- ;52,970 ;6,030 ;120 ;- ;- - ;8,000 ;45 ;24 ;152 ;7 ;350 ;185 ;380 ;;85 ;;
Torsö. ;;30 ;;5,788 ;;1,319 ;;13,050 ;- ;145 ;24,975 ;- ;618 ;;210 ;;51,600 ;;- ;- ;;20,000 ;36 ;3 ;276 ;8 ;590 ;203 ;630 ;;193 ;;
Tidavad ;X 44 ;X ;;409 ;;882 ;50 ;2,268 ;;110 ;6,500 ;;600 ;132 ;X 189 ;- ;1.228 ;- ;;- ;- ;;27 ;13 ;96 ;3 ;200 ;50 ;120 ;;25 ;;
Tived ;20 ;;;3,000 ;60 ;240 ;120 ;4,000 ;80 ;150 ;10,000 ;X 150 ;120 ;X 120 ;;- ;12,000 ;;240 ;;- ;;65 ;;130 ;4 ;330 ;220 ;800 ;;100 ;;
Trästena ;;;;1,500 ;9 ;3,200 ;- ;7,000 ;- ;;40,000 ;;600 ;- ;120 ;- ;9,000 ;1,700 ;;12 ;- ;- ;48 ;8 ;90 ;8 ;225 ;110 ;125 ;;20 ;;
Timmersdala. ;;13 ;;510 ;20 ;456 ;- ;1.520 ;- ;100 ;3,500 ;540 ;250 ;- ;52 ;- ;2,550 ;- ;80 ;- ;- ;;25 ;5 ;36 ;2 ;112 ;40 ;150 ;;20 ;;
Ullervad ;;;;2,350 ;10 ;2,345 ;;13,432 ;- ;300 ;29,700 ;- ;900 ;- ;225 ;- ;18,800 ;- ;- ;- ;;16,000 ;72 ;4 ;200 ;6 ;385 ;125 ;160 ;;50 ;;
Utby ;3 ;30 ;;643 ;3 ;1,750 ;50 ;5,075 ;- ;160 ;16.088 ;- ;1,575 ;9 ;240 ;- ;6,430 ;- ;9 ;;- - ;- ;30 ;3 ;110 ;3 ;200 ;25 ;40 ;;25 ;;
Undenäs ;60 ;;;11,160 ;210 ;960 ;120 ;27,522 ;600 ;360 ;53,860 ;- ;768 ;X 600 ;X 1,260 ;- ;78,120 ;;;X 210 ;- ;- ;106 ;6 ;620 ;20 ;1,240 ;725 ;1,840 ;12 ;410 ;;
Vad ;;;;680 ;- ;1,800 ;;1,800 ;- ;;5,000 ;- ;240 ;- ;;- ;2,120 ;- ;- ;- ;- ;;15 ;3 ;100 ;2 ;150 ;50 ;125 ;- ;15 ;;
Väring ;;30 ;- ;1,800 ;- ;5,920 ;120 ;13,800 ;- - ;120 ;18,000 ;- - ;900 ;- ;210 ;- ;9,100 ;- ;- ;- ;- ;35,000 ;45 ;8 ;250 ;5 ;350 ;100 ;200 ;- ;90 ;;
Summa Vadsbo härad ;396 ;2,467 ;- ;115,312 ;1,276 ;111,415 ;2,668 ;465,047 ;2.394 ;18,740 ;1,240,563 ;6,505 ;51,838 ;2,187 ;11,376 ;- ;811,856 ;57,170 ;2.945 ;542 ;64,050 ;440,600 ;2,408 ;438 ;9,199 ;583 ;17,993 ;8,416 ;16,198 ;17 ;4,051 ;- ;
