Table: Table_1

1. ;3G. ;37. ;38. ;;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;5G. ;58. ;59. ;60. ;61. ;62. ;6G. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Torsö ;-- ;50 ;- ;;7,400 ;- ;- ;900 ;;8,400 ;;1,280 ;21,100 ;;800 ;- ;250 ;- ;40,000 ;- ;- ;- ;- ;- ;- ;- 49 ;- ;210 ;9 ;280 ;110 ;500 ;- ;200 ;- ;
Tidavad ;31 ;81 ;;;441 ;;- ;880 ;;1,636 ;;;6,300 ;;X 1,260 ;X 63 ;X 4,085 ;- ;1,764 ;;;;;;;35 ;D ;100 ;4 ;225 ;CO ;200 ;;9 ;;
Tived ;10 ;;;;4,800 ;75 ;- ;12 ;12 ;3,100 ;72 ;60 ;4,250 ;;120 ;;;- ;1,500 ;350 ;200 ;30 ;;;;70 ;;100 ;10 ;305 ;65 ;700 ;- ;60 ;;
Trästena ;2 ;12 ;;;950 ;6 ;;2,239 ;;4,150 ;;;21,440 ;;288 ;12 ;;- ;2,850 ;;12 ;- ;- ;50 ;;45 ;6 ;100 ;;225 ;100 ;125 ;- ;20 ;;
Timmersdala ;;13 ;;;500 ;25 ;- ;378 ;;1,512 ;;75 ;2,772 ;452 ;200 ;;52 ;- ;2,000 ;- ;50 ;- ;- ;;;18 ;5 ;80 ;1 ;90 ;20 ;100 ;- ;14 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ullervad ;;18 ;- ;;2,210 ;15 ;- ;1,380 ;;5,680 ;;48 ;15,547 ;;426 ;;56 ;- ;8,840 ;- ;- ;;- ;17,976 ;;50 ;4 ;190 ;5 ;250 ;150 ;150 ;- ;50 ;;
Utby ;2 ;30 ;;;650 ;2 ;- ;1,267 ;37 ;3,593 ;36 ;;7.895 ;;888 ;4 ;168 ;- ;2,645 ;- ;;2 ;1,200 ;8,275 ;;23 ;5 ;110 ;4 ;218 ;38 ;75 ;-- ;15 ;;
Undenäs ;100 ;;;;13,725 ;360 ;- ;1.350 ;;26,600 ;990 ;250 ;52,960 ;X 800 ;500 ;1,000 ;;- ;51,900 ;- ;360 ;- ;;;;140 ;5 ;625 ;20 ;1,318 ;505 ;1,880 ;25 ;400 ;;
Wäring ;- ;25 ;;;2,025 ;- ;- ;4,315 ;85 ;6,870 ;;;13,895 ;;425 ;- ;88 ;- ;12.700 ;- ;- ;- ;-- ;16,000 ;;50 ;6 ;185 ;4 ;290 ;120 ;300 ;- ;70 ;;
Wad ;- ;;- ;;780 ;-- ;- ;4,360 ;;3,240 ;;235 ;14.800 ;;672 ;- ;- ;- ;3,200 ;- ;- ;- ;- ;- ;- ;24 ;- ;101 ;2 ;140 ;90 ;182 ;- ;27 ;- ;
Summa, Wadsbo härad ;360 ;1,690 ;- ;;121.764 ;1,931 ;1,8 ;95,122 ;639 ;374.752 ;1,834 ;16,934 ;1,059.557 ;8,190 ;46,261 ;1,929 ;10,678 ;- ;623,103 ;30.014 ;3,366 ;767,6 ;35,640 ;672,594 ;- ;2,211 ;214 ;8,013 ;273 ;15,982 ;6.735 ;16,511 ;46 ;3,919 ;;
Summa für landsbygden ;751 ;26,220 ;37 ;;622,786 ;6,451 ;7,8 ;292,045 ;3,932 ;1,631,657 ;114,135 ;344,280 ;5,556,125 ;229,196 ;193,959 ;3,955 ;135,942 ;- ;3,306,405 ;379,898 ;10,769 ;2,691,15 ;49,065 ;1,169,133 ;1,109 ;18,999 ;3,218 ;23.981 ;1,401 ;67,140 ;27,819 ;73,558 ;74 ;19,972 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;- ;12 ;- ;;400 ;- ;- ;1,600 ;;3,000 ;;70 ;10,000 ;;120 ;- ;12 ;- ;400 ;- ;- ;- ;-- ;- ;- ;82 ;- ;30 ;3 ;110 ;4 ;32 ;- ;40 ;- ;
Lidköping ;- ;;- ;;660 ;- ;- ;;;8.527 ;;600 ;14,580 ;;;;;- ;6,600 ;;- ;- ;;;- ;76 ;- ;8 ;2 ;283 ;12 ;;- ;10 ;- ;
Skara ;5 ;140 ;- ;;3,236 ;4 ;- ;2,240 ;-- ;6,712 ;;1,600 ;9,873 ;1,722 ;912 ;33 ;1,220 ;- ;12.944 ;6,000 ;5 ;30 ;550 ;5,650 ;- ;61 ;5 ;31 ;4 ;205 ;20 ;40 ;- ;52 ;- ;
Sköfde ;- ;;- ;;2,150 ;- ;- ;320 ;;2,300 ;;;4,500 ;- ;700 ;- ;- ;- ;19,500 ;;- ;- ;- ;;- ;20 ;2 ;30 ;2 ;220 ;20 ;50 ;- ;60 ;- ;
Falköping ;- ;26 ;- ;;300 ;- ;- ;;;504 ;;570 ;3,300 ;- ;12 ;- ;- ;- ;2,400 ;2.750 ;- ;- ;;2,000 ;- ;71 ;8 ;38 ;3 ;267 ;32 ;40 ;- ;66 ;- ;
IIjo ;- ;- ;- ;;4,000 ;- ;- ;- ;40 ;4.200 ;200 ;;6,000 ;30 ;60 ;- ;;- ;24,000 ;9,500 ;- ;- ;500 ;17,000 ;- ;50 ;2 ;35 ;2 ;150 ;25 ;15 ;- ;150 ;;
Summa für staderna ;5 ;178 ;- ;;10,746 ;4 ;- ;4.160 ;40 ;25,243 ;200 ;2,840 ;48.253 ;1.752 ;1,804 ;33 ;1.232 ;- ;65,844 ;19,250 ;5 ;30 ;1.050 ;24.650 ;- ;310 ;17 ;172 ;16 ;1,235 ;113 ;177 ;- ;378 ;;
Summa für hela länet ;759 ;26,398 ;37 ;;633,532 ;6,455 ;7,8 ;286,205, ;3.972 ;1,656,900 ;114,635 ;347,120 ;5,604,378 ;230.948 ;195,763 ;3,988 ;137,174 ;- ;3,372,249 ;399,148 ;10,771 ;2,721,15 ;49,115 ;1,192,783 ;1,109 ;19,309 ;3,235 ;24,153 ;1,417 ;68,375 ;27,932 ;74,065 ;74 ;20,350 ;;





