Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1950 ;19.1 ;9.1 ;16.7 ;30.7 ;11.6 ;21.6 ;24.3 ;12.2 ;15.5 ;26.2 ;12.4 ;23.4 ;
1951 ;18.4 ;8.4 ;16.5 ;31.0 ;12.4 ;21.4 ;24.6 ;12.5 ;15.8 ;25.1 ;12.8 ;20.6 ;
1952 ;18.8 ;8.5 ;16.5 ;30.2 ;11.1 ;20.8 ;24.9 ;11.8 ;15.8 ;24.8 ;11.7 ;20.4 ;
1953 ;18.8 ;8.5 ;16.1 ;29.7 ;10.2 ;20.0 ;23.7 ;11.4 ;15.8 ;23.8 ;11.6 ;20.8 ;
1954 ;18.5 ;8.6 ;15.9 ;29.1 ;10.3 ;19.6 ;23.1 ;11.1 ;16.2 ;24.8 ;11.5 ;24.2 ;
1955 ;18.5 ;8.5 ;15.3 ;29.1 ;9.6 ;19.0 ;24.4 ;11.6 ;17.0 ;25.6 ;9.7 ;22.8 ;
1956 ;18.5 ;8.7 ;14.5 ;28.1 ;9.0 ;18.8 ;23.4 ;12.4 ;15.2 ;24.2 ;9.9 ;23.4 ;
1957 ;18.1 ;8.8 ;14.0 ;27.6 ;9.5 ;18.2 ;24.4 ;11.7 ;16.5 ;22.9 ;10.2 ;22.8 ;
1958 ;17.9 ;9.0 ;13.6 ;26.3 ;8.4 ;18.4 ;24.4 ;10.5 ;16.8 ;21.6 ;8.7 ;23.4 ;
1959 ;17.7 ;8.9 ;13.1 ;24.7 ;8.6 ;19.0 ;24.3 ;11.1 ;17.3 ;20.2 ;10.2 ;21.4 ;
1960 ;17.3 ;9.1 ;13.2 ;22.6 ;7.6 ;16.4 ;24.2 ;10.8 ;15.7 ;19.1 ;8.7 ;21.4 ;
1961 ;17.3 ;9.2 ;13.4 ;20.9 ;7.6 ;15.8 ;24.5 ;11.2 ;17.5 ;17.5 ;8.7 ;19.4 ;
1962 ;17.1 ;9.4 ;13.2 ;19.8 ;7.9 ;15.0 ;24.5 ;10.8 ;15.7 ;16.2 ;9.2 ;19.8 ;
1963 ;17.3 ;10.1 ;13.1 ;19.2 ;7.5 ;14.4 ;23.5 ;10.8 ;15.7 ;15.7 ;8.3 ;18.6 ;
1964 ;17.8 ;9.5 ;13.5 ;18.1 ;7.6 ;14.8 ;23.8 ;10.6 ;16.0 ;15.2 ;8.1 ;18.0 ;
1965 ;17.8 ;9.5 ;13.0 ;17.4 ;7.4 ;12.6 ;22.9 ;10.3 ;16.3 ;14.6 ;8.6 ;17.2 ;
1966 ;17.9 ;9.6 ;14.8 ;16.7 ;7.3 ;14.2 ;22.2 ;10.8 ;16.5 ;14.3 ;8.2 ;17.8 ;
