Table: Table_1

;;Austria² ;;;Belgium ;;;Denmark4 ;;;Finland ;;
;X B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1800 ;;;;;;;29.9 ;28.5 ;18.8 ;37.6 ;25.5 ;16.4 ;
1801 ;;;;;;;31.1 ;27.7 ;15.7 ;39.6 ;21.8 ;15.8 ;
1802 ;;;;;;;32.2 ;23.2 ;18.4 ;39.2 ;22.3 ;14.6 ;
1803 ;;;;;;;33.1 ;22.5 ;17.3 ;35.6 ;33.1 ;15.4 ;
1804 ;;;;;;;32.2 ;23.7 ;17.6 ;39.1 ;25.0 ;15.8 ;
1805 ;;;;;;;32.8 ;23.2 ;15.9 ;38.4 ;21.2 ;16.0 ;
1806 ;;;;;;;30.2 ;22.3 ;14.8 ;35.7 ;21.9 ;15.2 ;
1807 ;;;;;;;31.0 ;22.9 ;14.7 ;36.2 ;29.2 ;13.2 ;
1808 ;;;;;;;30.6 ;25.2 ;14.5 ;30.4 ;60.5 ;10.0 ;
1809 ;;;;;;;29.3 ;25.1 ;15.3 ;28.6 ;59.2 ;17.4 ;
1810 ;;;;;;;30.3 ;22.7 ;17.6 ;40.55 ;24.65 ;23.65 ;
1811 ;;;;;;;30.5 ;24.4 ;17.5 ;36.4 ;30.8 ;18.2 ;
1812 ;;;;;;;29.8 ;27.0 ;15.9 ;38.9 ;24.1 ;16.2 ;
1813 ;;;;;;;29.1 ;22.8 ;16.1 ;35.6 ;27.3 ;15.0 ;
1814 ;;;;;;;30.4 ;24.7 ;18.3 ;36.7 ;32.4 ;16.6 ;
1815 ;;;;;;;34.1 ;21.6 ;20.4 ;37.5 ;26.0 ;17.4 ;
1816 ;;;;;;;32.9 ;20.7 ;18.6 ;38.8 ;23.4 ;17.8 ;
1817 ;;;;;;;32.8 ;19.0 ;15.4 ;39.0 ;24.0 ;17.2 ;
1818 ;;;;;;;32.1 ;18.9 ;16.9 ;38.4 ;24.8 ;17.2 ;
1819 ;;;;;;;32.5 ;19.5 ;16.7 ;36.1 ;27.2 ;15.2 ;
1820 ;43.0 ;26.6 ;17.3 ;;;;31.5 ;20.9 ;16.2 ;36.6 ;25.3 ;18.6 ;
1821 ;41.4 ;25.7 ;15.8 ;;;;32.1 ;24.0 ;16.1 ;41.4 ;22.9 ;19.0 ;
1822 ;38.5 ;27.2 ;15.1 ;;;;33.7 ;20.3 ;17.1 ;35.6 ;27.8 ;16.2 ;
1823 ;39.6 ;28.8 ;14.5 ;;;;32.6 ;17.7 ;15.7 ;40.3 ;24.2 ;17.8 ;
1824 ;40.1 ;26.4 ;15.7 ;;;;31.3 ;18.6 ;16.2 ;37.8 ;27.3 ;17.2 ;
1825 ;40.3 ;26.9 ;15.6 ;;;;31.3 ;19.2 ;16.7 ;38.5 ;26.1 ;16.4 ;
1826 ;39.6 ;27.7 ;16.0 ;;;;31.4 ;21.1 ;16.7 ;37.6 ;26.2 ;16.6 ;
1827 ;38.6 ;28.9 ;17.2 ;;;;29.2 ;20.0 ;15.4 ;36.7 ;21.5 ;18.2 ;
1828 ;37.6 ;32.7 ;17.0 ;;;;30.3 ;23.6 ;16.0 ;39.3 ;22.6 ;18.0 ;
1829 ;36.1 ;31.4 ;17.4 ;;;;29.6 ;28.8 ;16.6 ;38.7 ;26.3 ;16.6 ;
1830 ;38.0 ;30.3 ;16.2 ;32.3 ;25.6 ;13.0 ;28.9 ;25.3 ;16.8 ;36.6 ;25.4 ;15.2 ;
1831 ;35.6 ;42.2 ;14.5 ;33.0 ;24.0 ;15.1 ;29.7 ;30.1 ;16.0 ;35.2 ;28.5 ;17.2 ;
1832 ;36.6 ;35.6 ;19.4 ;31.5 ;28.0 ;13.4 ;27.0 ;26.3 ;17.3 ;34.5 ;33.8 ;13.0 ;
