Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1920 ;26.7 ;19.0 ;26.4 ;25.4 ;12.9 ;17.6 ;27.0 ;17.0 ;15.0 ;21.4 ;17.2 ;31.9 ;
1921 ;29.2 ;17.7 ;24.2 ;24.0 ;11.0 ;16.2 ;25.9 ;14.9 ;15.0 ;20.7 ;17.7 ;23.2 ;
1922 ;28.2 ;17.4 ;20.6 ;22.2 ;11.9 ;15.8 ;25.0 ;15.3 ;14.6 ;19.3 ;17.5 ;19.5 ;
1923 ;27.3 ;15.0 ;18.8 ;22.3 ;11.3 ;16.0 ;25.3 ;14.7 ;14.6 ;19.1 ;16.7 ;17.8 ;
1924 ;25.8 ;15.3 ;18.0 ;21.8 ;11.2 ;15.6 ;23.8 ;16.3 ;13.4 ;18.7 ;16.9 ;17.6 ;
1925 ;25.1 ;15.2 ;18.4 ;21.0 ;10.8 ;15.0 ;23.7 ;14.4 ;13.4 ;19.0 ;17.4 ;17.4 ;
1926 ;24.6 ;15.6 ;18.2 ;20.5 ;11.0 ;15.0 ;23.0 ;14.2 ;13.6 ;18.8 ;17.4 ;16.9 ;
1927 ;23.3 ;16.0 ;18.0 ;19.6 ;11.6 ;15.0 ;22.5 ;15.4 ;14.4 ;18.2 ;16.5 ;16.4 ;
1928 ;23.3 ;15.1 ;19.0 ;19.6 ;11.0 ;15.6 ;22.8 ;14.3 ;15.0 ;18.3 ;16.4 ;16.5 ;
1929 ;22.4 ;15.5 ;19.0 ;18.6 ;11.2 ;15.8 ;22.2 ;15.9 ;14.6 ;17.7 ;17.9 ;16.2 ;
1930 ;22.7 ;14.2 ;18.6 ;18.7 ;10.8 ;16.4 ;21.8 ;14.0 ;14.4 ;18.0 ;15.6 ;16.4 ;
1931 ;21.5 ;14.4 ;17.6 ;18.0 ;11.4 ;16.2 ;20.7 ;14.1 ;13.8 ;17.5 ;16.2 ;15.6 ;
1932 ;21.0 ;14.1 ;17.2 ;18.0 ;11.0 ;15.6 ;19.8 ;13.3 ;13.2 ;17.3 ;15.8 ;15.1 ;
1933 ;19.2 ;13.7 ;16.6 ;17.3 ;10.6 ;17.6 ;18.4 ;13.6 ;13.8 ;16.2 ;15.8 ;15.1 ;
1934 ;18.7 ;13.2 ;15.8 ;17.8 ;10.4 ;19.0 ;19.1 ;13.1 ;15.4 ;16.2 ;15.1 ;14.2 ;
1935 ;17.9 ;13.5 ;15.2 ;17.7 ;11.1 ;18.6 ;19.6 ;12.7 ;16.0 ;15.3 ;15.7 ;13.6 ;
1936 ;17.4 ;13.3 ;16.0 ;17.8 ;11.0 ;18.6 ;19.1 ;13.6 ;16.6 ;15.0 ;15.3 ;13.4 ;
1937 ;17.2 ;13.3 ;16.6 ;18.0 ;10.8 ;18.2 ;19.9 ;12.8 ;18.0 ;14.7 ;15.0 ;13.1 ;
1938 ;16.828 ;12.82 ;14.428 ;18.1 ;10.3 ;17.8 ;21.0 ;12.8 ;18.4 ;14.6 ;15.4 ;13.1 ;
1939 ;18.6 ;13.3 ;18.2 ;17.8 ;10.1 ;18.8 ;21.2 ;14.3 ;16.6 ;14.6 ;15.330 ;12.3 ;
1940 ;20.6 ;14.0 ;19.8 ;18.3 ;10.4 ;18.4 ;17.8 ;19.4 ;16.6 ;13.630 ;18.030 ;8.630 ;
1941 ;20.1 ;14.0 ;17.2 ;18.5 ;10.3 ;17.4 ;24.2 ;19.8 ;20.4 ;13.130 ;17.030 ;11.430 ;
1942 ;19.7 ;14.3 ;18.2 ;20.4 ;9.6 ;18.4 ;16.6 ;15.1 ;14.6 ;14.530 ;16.630 ;13.630 ;
1943 ;21.5 ;14.1 ;15.8 ;21.4 ;9.6 ;18.6 ;20.4 ;13.3 ;17.2 ;15.730 ;16.030 ;11.230 ;
1944 ;22.128 ;15.028 ;13.628 ;22.7 ;10.2 ;18.6 ;21.3 ;18.9 ;16.8 ;16.130 ;17.130 ;10.530 ;
1945 ;19.5 ;17.8 ;15.0 ;23.5 ;10.5 ;18.0 ;25.5 ;13.1 ;23.6 ;16.230 ;16.130 ;19.830 ;
1946 ;22.7 ;14.1 ;20.2 ;23.4 ;10.2 ;19.6 ;27.9 ;11.8 ;26.2 ;20.9 ;13.5 ;25.7 ;
1947 ;24.229 ;12.129 ;22.229 ;22.1 ;9.7 ;19.2 ;28.0 ;11.9 ;22.6 ;21.3 ;13.1 ;21.0 ;
1948 ;23.4 ;11.5 ;21.4 ;20.3 ;8.6 ;18.8 ;27.6 ;11.2 ;20.0 ;21.1 ;12.4 ;18.0 ;
1949 ;22.4 ;11.9 ;21.2 ;18.9 ;8.9 ;17.8 ;26.1 ;11.2 ;17.6 ;20.9 ;13.7 ;16.4 ;





