Table: Table_1

Lidingö ;9.950 ;27 ;4 ;8 ;;8 ;;1 ;2 ;3 ;1 ;14 ;2,926 ;32 ;778 ;7 ;1,767 ;79 ;175 ;38 ;31 ;1 ;- ;32 ;343 ;2 ;77 ;37 ;352 ;149 ;1,707 ;- ;- ;- ;- ;30 ;197 ;340 ;2,136 ;
Solna ;17:562 ;58 ;13 ;11 ;;2 ;;10 ;17 ;is ;;98 ;1,834 ;144 ;565 ;51 ;728 ;41 ;121 ;22 ;35 ;9 ;- ;22 ;227 ;45 ;43 ;30 ;357 ;67 ;707 ;- ;- ;- ;- ;14 ;109 ;361 ;2,210 ;
Dandeg ;134'562 ;188 ;20 ;32 ;25 ;;9 ;14 ;50 ;33 ;5 ;234 ;20,357 ;246 ;6,088 ;174 ;11,943 ;742 ;1,522 ;222 ;227 ;18 ;- ;158 ;2,413 ;47 ;739 ;447 ;4,520 ;1,292 ;14,246 ;- ;- ;- ;- ;361 ;2,264 ;3,953 ;22,879 ;
Österâkers ;84:875 ;105 ;2 ;48 ;17 ;;5 ;1 ;21 ;11 ;- ;150 ;10,295 ;20 ;2,591 ;358 ;6,940 ;354 ;863 ;55 ;76 ;2 ;2 ;- ;899 ;- ;340 ;185 ;1,765 ;792 ;7,500 ;8 ;20 ;3 ;23 ;227 ;1,395 ;2,467 ;17,270 ;
Roelags-Kulla ;21:375 ;26 ;;14 ;;1 ;1 ;- ;7 ;3 ;- ;23 ;4,003 ;11 ;747 ;148 ;2,483 ;89 ;227 ;34 ;19 ;;1 ;- ;282 ;- ;95 ;45 ;400 ;189 ;1,800 ;- ;- ;- ;- ;146 ;955 ;659 ;4,620 ;
Riala ;24:125 ;99 ;1 ;76 ;;4 ;1 ;- ;14 ;3 ;- ;53 ;8,110 ;3 ;1,220 ;359 ;4,481 ;214 ;390 ;45 ;52 ;- ;3 ;- ;308 ;- ;208 ;118 ;1,070 ;473 ;4,495 ;- ;- ;- ;- ;254 ;1,651 ;1.164 ;8,150 ;
Ljusterö ;53:125 ;118 ;9 ;87 ;;6 ;1 ;;13 ;2 ;;53 ;9,443 ;6 ;1,340 ;370 ;5,386 ;209 ;401 ;28 ;45 ;- ;2 ;- ;437 ;- ;218 ;126 ;1,140 ;431 ;4,088 ;- ;- ;- ;- ;241 ;1,605 ;1,092 ;7,670 ;
;183-500 ;348 ;12 ;225 ;28 ;;8 ;I ;55 ;19 ;-- ;279 ;31,851 ;40 ;5,898 ;1,235 ;19,290 ;866 ;1,881 ;162 ;192 ;2 ;8 ;- ;1,926 ;- ;861 ;474 ;4,375 ;1,885 ;17,883 ;3 ;20 ;3 ;23 ;868 ;5,606 ;5,382 ;37,710 ;
Vermdö socker. ;108 250 ;140 ;4 ;81 ;13 ;;8 ;- ;17 ;14 ;3 ;139 ;22,409 ;60 ;3,836 ;602 ;12,069 ;594 ;1,094 ;127 ;150 ;3 ;- ;39 ;1,244 ;- ;585 ;327 ;2,989 ;956 ;10,011 ;20 ;99 ;- ;- ;228 ;1,445 ;3,812 ;21,447 ;
Ingarö ;21:625 ;32 ;3 ;15 ;;1 ;1 ;;6 ;6 ;- ;64 ;6,533 ;9 ;776 ;188 ;3,880 ;106 ;214 ;20 ;39 ;- ;- ;16 ;270 ;- ;111 ;41 ;370 ;177 ;1,985 ;- ;- ;- ;- ;33 ;208 ;773 ;4,172 ;
Djurö ;11:125 ;180 ;92 ;79 ;- ;;;2 ;7 ;1 ;- ;54 ;5,515 ;4 ;4 6 ;159 ;2,240 ;76 ;99 ;8 ;46 ;;- ;;96 ;- ;81 ;18 ;141 ;141 ;1,246 ;- ;- ;- ;- ;23 ;128 ;323 ;1.964 ;
Bo ;11:250 ;12 ;;2 ;;5 ;1 ;1 ;1 ;1 ;1 ;190 ;3,481 ;34 ;584 ;22 ;1,845 ;66 ;141 ;21 ;21 ;1 ;- ;17 ;245 ;- ;72 ;64 ;656 ;83 ;896 ;- ;- ;- ;;26 ;167 ;476 ;2,634 ;
Mõja ;10:500 ;106 ;79 ;22 ;- ;;;3 ;2 ;;- ;- ;4,773 ;1 ;147 ;249 ;2,400 ;31 ;51 ;5 ;36 ;;- ;- ;9 ;- ;15 ;11 ;86 ;60 ;563 ;- ;--- ;- ;- ;67 ;377 ;96 ;495 ;
Veng ;162 750 ;470 ;178 ;199 ;19 ;;10 ;6 ;33 ;21 ;4 ;447 ;42,711 ;108 ;5,749 ;1,220 ;22,434 ;873 ;1,599 ;ISE ;292 ;4 ;- ;72 ;1,864 ;- ;804 ;401 ;4,242 ;1,417 ;14,701 ;20 ;99 ;- ;- ;377 ;2,325 ;5,480 ;30,712 ;
Österhaninge & ;79:166 ;112 ;4 ;51 ;;3 ;5 ;4 ;25 ;19 ;1 ;52 ;15,624 ;34 ;2,738 ;252 ;12,394 ;393 ;753 ;59 ;87 ;11 ;2 ;64 ;975 ;- ;894 ;255 ;2,280 ;940 ;8,920 ;- ;- ;- ;- ;91 ;560 ;2,643 ;18,480 ;
Ornö ;18:375 ;37 ;;6 ;- ;;- ;9 ;21 ;1 ;;18 ;6,979 ;4 ;275 ;218 ;6,343 ;46 ;85 ;9 ;14 ;- ;- ;2 ;72 ;- ;47 ;20 ;182 ;116 ;990 ;- ;- ;- ;- ;37 ;240 95 ;268 ;1,890 ;
Nämdö ;5:500 ;35 ;22 ;2 ;- ;;;10 ;1 ;;;;3,808 ;5 ;76 ;238 ;3,097 ;13 ;21 ;2 ;14 ;- ;- ;;15 ;- ;11 ;11 ;100 ;33 ;310 ;;;- ;- ;15 ;;67 ;460 ;
Utõ ;8:750 ;16 ;;5 ;- ;;- ;;9 ;1 ;1 ;4 ;4,469 ;7 ;300 ;147 ;3,830 ;45 ;90 ;7 ;20 ;;- ;5 ;88 ;- ;45 ;9 ;80 ;127 ;1,206 ;28 ;200 ;- ;- ;28 ;180 ;260 ;1,800 ;
Tyresö ;19:125 ;26 ;1 ;8 ;- ;;- ;1 ;11 ;3 ;2 ;44 ;7.258 ;9 ;963 ;139 ;6,037 ;139 ;971 ;41 ;27 ;1 ;- ;14 ;331 ;- ;139 ;125 ;1,130 ;251 ;2,385 ;- ;- ;- ;- ;63 ;390 ;758 ;5,305 ;
Dalarö ;3.750 ;8 ;;;;2 ;;- ;G ;;;.4 ;1,799 ;23 ;112 ;38 ;1,594 ;16 ;29 ;4 ;8 ;;- ;3 ;36 ;- ;16 ;12 357 ;110 3,210 ;36 993 ;345 9,325 ;- ;- - ;- - ;- - ;12 55 ;75 650 ;90 2,781 ;625 19,360 ;
Vesterhaninge ;65:345 ;107 ;- ;i 79 ;;7 ;4 ;-- ;5 ;8 ;4 ;50 ;11,752 ;19 ;2,992 ;259 ;8,427 ;450 ;756 ;90 ;147 ;1 ;;106 12 ;1,004 ;- ;438 ;60 ;535 ;180 ;1,695 ;17 ;90 ;- ;- ;7 ;45 ;595 ;4,100 ;
Muskó ;14:875 ;19 ;- ;15 ;;;1 ;- ;2 ;- ;1 ;39 ;4,061 ;3 ;537 ;193 ;3,300 ;81 ;153 ;14 ;28 ;;2 ;;166 ;- ;81 ;;;;;;;;;;;;;
Osmo ;72:725 ;136 ;4 ;71 ;11 ;;2 ;;25 ;17 ;6 ;87 ;15,276 ;19 ;3,381 ;452 ;11.266 ;504 ;1,022 ;85 ;111 ;1 ;4 ;101 ;1,057 ;- ;496 ;404 ;3,635 ;966 ;9,200 ;;- ;- ;- ;150 ;970 ;3,339 4.912 ;23,350 ;
Sorunda ;89-250 ;249 ;2 ;203 ;10 ;;3 ;2 ;19 ;8 ;2 ;65 ;16,745 ;28 ;4,831 ;145 ;11,704 ;740 ;1,451 ;128 ;160 ;15 ;4 ;72 ;1,495 ;- ;766 ;511 ;4,600 ;1,454 ;12,810 ;- ;;- ;- ;365 ;2,370 62 ;;35,050 ;
Torö ;6:210 ;15 ;- ;- ;- ;;1 ;9 ;5 ;- ;- ;31 ;2,910 ;3 ;306 ;83 ;2,333 ;51 ;84 ;9 ;18 ;;1 ;5 ;89 ;- ;49 ;28 ;250 ;111 ;1,050 ;4 ;28 ;- ;- ;10 ;;298 ;2,685 ;
si ;383-071 ;760 ;33 ;440 ;33 ;;16 ;35 ;129 ;57 ;17 ;394 ;90,681 ;154 ;16,511 ;2,164 ;70,325 ;2,478 ;4,715 ;448 ;634 ;29 ;13 ;384 ;5,328 ;- ;2,482 ;1,792 ;10,112 ;5,207 ;48,236 ;49 ;318 ;- ;- ;833 ;5,337 ;16,011 ;113,105 ;





