Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1950 ;26.7 ;9.7 ;;20.1 ;10.8 ;15.0 ;16.5 ;10.0 ;15.5 ;
1951 ;27.0 ;9.7 ;;20.0 ;11.5 ;14.9 ;15.6 ;9.9 ;15.3 ;
1952 ;26.5 ;9.4 ;;20.7 ;9.6 ;15.5 ;15.5 ;9.6 ;15.0 ;
1953 ;25.1 ;9.1 ;;20.4 ;9.6 ;15.2 ;15.4 ;9.7 ;14.8 ;
1954 ;26.6 ;8.9 ;;19.8 ;9.0 ;15.9 ;14.6 ;9.6 ;14.7 ;
1955 ;25.7 ;8.2 ;;20.4 ;9.3 ;16.2 ;14.8 ;9.5 ;14.4 ;
1956 ;25.7 ;7.6 ;;20.5 ;9.7 ;17.5 ;14.8 ;9.6 ;14.1 ;
1957 ;25.4 ;7.8 ;;21.6 ;9.8 ;17.0 ;14.6 ;9.9 ;14.3 ;
1958 ;25.3 ;7.2 ;;21.7 ;8.6 ;16.9 ;14.2 ;9.6 ;13.7 ;
1959 ;25.0 ;7.6 ;24.4 ;21.5 ;8.8 ;16.2 ;14.1 ;9.5 ;13.5 ;
1960 ;24.9 ;7.1 ;;21.6 ;8.7 ;15.6 ;13.7 ;10.0 ;13.4 ;
1961 ;23.8 ;7.2 ;22.0 ;21.1 ;8.4 ;15.5 ;13.9 ;9.8 ;13.9 ;
1962 ;22.4 ;7.5 ;20.0 ;21.1 ;8.8 ;15.3 ;14.2 ;10.2 ;14.3 ;
1963 ;21.2 ;7.2 ;18.2 ;21.3 ;8.9 ;15.2 ;14.9 ;10.1 ;14.1 ;
1964 ;19.6 ;6.9 ;17.0 ;21.8 ;8.5 ;14.7 ;16.0 ;10.0 ;15.3 ;
1965 ;18.4 ;7.3 ;17.4 ;20.9 ;8.4 ;14.3 ;15.9 ;10.1 ;15.5 ;
1966 ;18.2 ;7.3 ;17.8 ;20.5 ;8.4 ;14.2 ;15.8 ;10.1 ;15.7 ;
1967 ;17.3 ;7.6 ;18.0 ;20.6 ;8.4 ;14.3 ;15.4 ;10.1 ;14.4 ;
1968 ;17.2 ;7.7 ;17.8 ;20.0 ;8.4 ;14.1 ;14.3 ;10.4 ;13.3 ;
1969 ;17.0 ;8.1 ;18.8 ;19.8 ;8.9 ;14.4 ;13.5 ;10.5 ;12.2 ;
1970 ;17.4 ;8.2 ;19.6 ;19.5 ;8.3 ;14.7 ;13.7 ;9.9 ;10.8 ;
1971 ;17.8 ;8.2 ;20.0 ;19.5 ;8.9 ;14.9 ;14.1 ;10.2 ;9.8 ;
1972 ;17.8 ;8.5 ;18.8 ;19.4 ;8.1 ;15.3 ;13.8 ;10.3 ;9.8 ;
1973 ;17.6 ;8.7 ;20.2 ;19.2 ;8.5 ;15.5 ;13.5 ;10.5 ;9.4 ;
1974 ;18.0 ;8.7 ;20.8 ;19.5 ;8.4 ;15.3 ;13.5 ;10.6 ;11.0 ;
1975 ;18.1 ;9.3 ;21.4 ;18.8 ;8.4 ;15.3 ;12.6 ;10.8 ;10.8 ;
1976 ;18.4 ;9.4 ;20.2 ;18.8 ;8.3 ;14.5 ;12.0 ;11.0 ;10.9 ;
1977 ;18.1 ;9.6 ;21.4 ;18.1 ;8.1 ;14.4 ;11.6 ;10.7 ;9.8 ;
1978 ;18.2 ;9.7 ;21.4 ;17.3 ;8.1 ;14.0 ;11.3 ;10.8 ;9.1 ;
1979 ;18.2 ;10.1 ;21.8 ;16.2 ;7.9 ;13.3 ;11.6 ;11.0 ;9.0 ;
1980 ;18.3 ;10.3 ;20.5 ;15.2 ;7.8 ;11.8 ;11.7 ;11.0 ;9.0 ;
1981 ;18.5 ;10.2 ;20.8 ;14.1 ;7.8 ;10.7 ;11.3 ;11.1 ;9.1 ;
1982 ;18.9 ;10.1 ;20.5 ;13.6 ;7.8 ;10.2 ;11.1 ;10.9 ;8.9 ;
1983 ;19.8 ;10.4 ;20.8 ;12.7 ;7.9 ;10.3 ;11.0 ;10.9 ;8.7 ;
1984 ;19.6 ;10.8 ;19.2 ;12.3 ;7.8 ;10.3 ;11.3 ;10.9 ;8.8 ;
1985 ;19.4 ;10.6 ;19.6 ;11.8 ;8.1 ;10.3 ;11.8 ;11.3 ;9.2 ;
1986 ;20.0 ;9.8 ;19.6 ;11.2 ;7.9 ;10.5 ;12.2 ;11.1 ;9.3 ;
1987 ;19.8 ;9.9 ;19.6 ;10.8 ;8.0 ;10.8 ;12.5 ;11.1 ;9.8 ;
1988 ;18.8 ;10.1 ;18.8 ;10.7 ;8.2 ;11.0 ;13.3 ;11.5 ;10.4 ;
1989 ;;10.7 ;19.0 ;;8.4 ;;13.7 ;10.8 ;25.6 ;
1990 ;13.45 ;11.25 ;18.8 ;10.3 ;8.6 ;11.2 ;14.5 ;11.1 ;9.4 ;
1991 ;12.15€ ;11.455 ;17.2 ;10.1 ;8.7 ;11.2 ;14.4 ;11.0 ;8.6 ;
1992 ;10.755 ;12.255 ;14.2 ;10.2 ;;11.2 ;14.2 ;10.9 ;8.6 ;
1993 ;9.355 ;14.355 ;15.0 ;9.9 ;8.7 ;10.4 ;13.5 ;11.1 ;7.8 ;





