Table: Table_1

Year ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;
1882 ;2 ;.10 ;- ;29 ;1.37 ;.24 ;27 ;3.91 ;.21 ;
1883 ;2 ;.10 ;- ;29 ;1.39 ;.25 ;27 ;4.00 ;.24 ;
1884 ;2 ;.10 ;- ;29 ;1.42 ;.25 ;27 ;4.04 ;.24 ;
1885 ;2 ;.08 ;- ;29 ;1.41 ;.26 ;27 ;3.98 ;.24 ;
1886 ;2 ;.07 ;- ;29 ;1.33 ;.26 ;27 ;3.80 ;.24 ;
1887 ;2 ;.07 ;- ;29 ;1.26 ;.28 ;27 ;3.55 ;.26 ;
1888 ;2 ;.07 ;- ;29 ;1.31 ;.26 ;27 ;3.69 ;.24 ;
1889 ;2 ;.09 ;- ;29 ;1.35 ;.25 ;27 ;3.88 ;.25 ;
1890 ;2 ;.09 ;- ;29 ;1.40 ;.25 ;27 ;3.97 ;.25 ;
1891 ;2 ;.09 ;- ;29 ;1.48 ;.22 ;27 ;4.11 ;.25 ;
1892 ;2 ;.09 ;- ;29 ;1.51 ;.23 ;27 ;4.14 ;.25 ;
1893 ;2 ;.08 ;- ;29 ;1.51 ;.23 ;27 ;4.14 ;.25 ;
1894 ;2 ;.08 ;- ;29 ;1.52 ;.22 ;27 ;4.14 ;.25 ;
1895 ;2 ;.09 ;- ;29 ;1.52 ;.22 ;27 ;4.16 ;.25 ;
1896 ;2 ;.09 ;- ;29 ;1.57 ;.27 ;28 ;4.05 ;.32 ;
1897 ;2 ;.10 ;- ;29 ;1.63 ;.25 ;27 ;4.29 ;.25 ;
1898 ;2 ;.09 ;- ;29 ;1.78 ;.24 ;27 ;4.57 ;.24 ;
1899 ;2 ;.10 ;- ;29 ;1.95 ;.23 ;27 ;4.93 ;.22 ;
1900 ;2 ;.10 ;- ;29 ;2.02 ;.23 ;27 ;5.10 ;.23 ;
1901 ;2 ;.09 ;- ;29 ;1.99 ;.23 ;27 ;5.05 ;.24 ;
1902 ;2 ;.09 ;- ;29 ;1.96 ;.19 ;2,7 ;5.01 ;.24 ;
1903 ;2 ;.09 ;- ;29 ;1.98 ;.19 ;27 ;5.13 ;.24 ;
1904 ;2 ;.09 ;- ;29 ;2.02 ;.17 ;27 ;5.21 ;.24 ;
1905 ;2 ;.10 ;- ;29 ;2.07 ;.18 ;27 ;5.21 ;.23 ;
1906 ;2 ;.10 ;- ;29 ;2.22 ;.16 ;27 ;5.51 ;.22 ;
1907 ;2 ;.11 ;- ;29 ;2.43 ;.16 ;27 ;5.93 ;.24 ;
1908 ;2 ;.11 ;- ;29 ;2.49 ;.16 ;27 ;6.21 ;.22 ;
1809 ;2 ;.11 ;- ;29 ;2.50 ;.16 ;27 ;6.17 ;.22 ;
1910 ;2 ;.11 ;- ;29 ;2.49 ;.14 ;27 ;6.21 ;.22 ;
1911 ;2 ;.12 ;- ;29 ;2.57 ;.17 ;27 ;6.30 ;.23 ;
1912 ;2 ;.12 ;- ;29 ;2.67 ;.15 ;27 ;6.53 ;.22 ;
1913 ;2 ;.12 ;- ;29 ;2.74 ;.17 ;27 ;6.65 ;.22 ;
1914 ;2 ;.12 ;- ;29 ;2.75 ;.18 ;27 ;6.70 ;.23 ;





